,BoatID,Date,BoatName,Speed,Course,Latitude,Longitude
193,111,2020-01-04 00:40:00,Mason,0.1,NO,-38.03527,-57.52777
194,111,2020-01-04 01:00:00,Mason,0.15000000000000002,NO,-38.035135,-57.52777
195,111,2020-01-04 01:20:00,Mason,0.1,SE,-38.03527,-57.52777
196,111,2020-01-04 01:40:00,Mason,0.3,SE,-38.03527,-57.52777
197,111,2020-01-04 02:00:00,Mason,0.1,SE,-38.035,-57.52777
198,111,2020-01-04 02:20:00,Mason,0.1,O,-38.035,-57.52777
199,111,2020-01-04 02:40:00,Mason,0.1,SE,-38.035,-57.52777
200,111,2020-01-04 03:00:00,Mason,0.1,SE,-38.03527,-57.52777
201,111,2020-01-04 03:20:00,Mason,0.2,O,-38.035,-57.52777
202,111,2020-01-04 03:40:00,Mason,0.1,O,-38.035,-57.52777
203,111,2020-01-04 04:00:00,Mason,0.3,NO,-38.035,-57.52777
204,111,2020-01-04 04:20:00,Mason,0.2,O,-38.035,-57.52777
205,111,2020-01-04 04:40:00,Mason,0.1,NO,-38.035,-57.52777
206,111,2020-01-04 05:00:00,Mason,0.2,NO,-38.035,-57.52777
207,111,2020-01-04 05:20:00,Mason,0.2,NO,-38.035,-57.52777
208,111,2020-01-04 05:40:00,Mason,0.2,NO,-38.035,-57.52777
209,111,2020-01-04 06:00:00,Mason,0.15000000000000002,NO,-38.035,-57.52777
210,111,2020-01-04 06:20:00,Mason,0.2,S,-38.03527,-57.52777
211,111,2020-01-04 06:40:00,Mason,0.1,E,-38.03527,-57.52777
212,111,2020-01-04 07:00:00,Mason,0.1,E,-38.035135,-57.52777
213,111,2020-01-04 07:20:00,Mason,0.2,E,-38.035,-57.52777
214,111,2020-01-04 07:40:00,Mason,0.2,E,-38.035,-57.52777
215,111,2020-01-04 08:00:00,Mason,0.1,SE,-38.035,-57.52777
216,111,2020-01-04 08:20:00,Mason,0.15000000000000002,O,-38.035,-57.52777
217,111,2020-01-04 08:40:00,Mason,0.1,O,-38.035,-57.52777
218,111,2020-01-04 09:00:00,Mason,0.15000000000000002,NO,-38.035,-57.52777
219,111,2020-01-04 09:20:00,Mason,0.2,SE,-38.035,-57.52777
220,111,2020-01-04 09:40:00,Mason,0.2,S,-38.035,-57.52777
221,111,2020-01-04 10:00:00,Mason,0.15000000000000002,SE,-38.03527,-57.52777
222,111,2020-01-04 10:20:00,Mason,0.1,SE,-38.03527,-57.52777
223,111,2020-01-04 10:40:00,Mason,0.2,SE,-38.03527,-57.52777
224,111,2020-01-04 11:00:00,Mason,0.1,N,-38.03527,-57.52777
225,111,2020-01-04 11:20:00,Mason,0.1,NO,-38.035,-57.52777
226,111,2020-01-04 11:40:00,Mason,0.1,S,-38.035,-57.52777
227,111,2020-01-04 12:00:00,Mason,0.1,SE,-38.035,-57.52777
228,111,2020-01-04 12:20:00,Mason,0.1,O,-38.035,-57.52777
229,111,2020-01-04 12:40:00,Mason,0.1,NO,-38.035,-57.52777
230,111,2020-01-04 13:00:00,Mason,0.15000000000000002,SO,-38.035,-57.52777
231,111,2020-01-04 13:20:00,Mason,0.1,E,-38.035,-57.52777
232,111,2020-01-04 13:40:00,Mason,0.0,SE,-38.035,-57.52777
233,111,2020-01-04 14:00:00,Mason,0.2,SE,-38.03527,-57.52777
234,111,2020-01-04 14:20:00,Mason,0.1,O,-38.03527,-57.52777
235,111,2020-01-04 14:40:00,Mason,0.1,O,-38.03527,-57.52777
236,111,2020-01-04 15:00:00,Mason,0.2,NO,-38.03527,-57.52777
237,111,2020-01-04 15:20:00,Mason,0.1,O,-38.03527,-57.52777
238,111,2020-01-04 15:40:00,Mason,0.1,S,-38.03527,-57.52777
239,111,2020-01-04 16:00:00,Mason,0.1,NO,-38.035,-57.52777
240,111,2020-01-04 16:20:00,Mason,0.2,E,-38.035,-57.52777
241,111,2020-01-04 16:40:00,Mason,0.1,SE,-38.035,-57.52777
242,111,2020-01-04 17:00:00,Mason,0.1,E,-38.035,-57.52777
243,111,2020-01-04 17:20:00,Mason,0.1,O,-38.035,-57.52777
244,111,2020-01-04 17:40:00,Mason,0.1,NO,-38.035,-57.52777
245,111,2020-01-04 18:00:00,Mason,0.1,N,-38.035,-57.52777
246,111,2020-01-04 18:20:00,Mason,0.1,NO,-38.035,-57.52777
247,111,2020-01-04 18:40:00,Mason,0.1,O,-38.035,-57.52777
